Unnamed: 0,space,seed,hier_ratio,hier_pval,dataset,feature,n_subjects,source_file,n_subjects_plot,n_subjects_label,num_classes
30,State_LDA,7,1.167871418482605,0.0,lemon,complexity,20,/home1/amadapur/projects/eeg_trait_state_geometry/results/lemon/complexity/hierarchy/hierarchy_results_n20_2_complexityclasses.csv,20.0,20,2
31,Joint_LDA,7,1.43904764607396,0.0,lemon,complexity,20,/home1/amadapur/projects/eeg_trait_state_geometry/results/lemon/complexity/hierarchy/hierarchy_results_n20_2_complexityclasses.csv,20.0,20,2
32,Raw,8,1.198654508889856,0.0,lemon,complexity,20,/home1/amadapur/projects/eeg_trait_state_geometry/results/lemon/complexity/hierarchy/hierarchy_results_n20_2_complexityclasses.csv,20.0,20,2
33,Trait_LDA,8,1.5732904175779647,0.0,lemon,complexity,20,/home1/amadapur/projects/eeg_trait_state_geometry/results/lemon/complexity/hierarchy/hierarchy_results_n20_2_complexityclasses.csv,20.0,20,2
34,State_LDA,8,0.903394961478571,0.0,lemon,complexity,20,/home1/amadapur/projects/eeg_trait_state_geometry/results/lemon/complexity/hierarchy/hierarchy_results_n20_2_complexityclasses.csv,20.0,20,2
35,Joint_LDA,8,1.4871970010124609,0.0,lemon,complexity,20,/home1/amadapur/projects/eeg_trait_state_geometry/results/lemon/complexity/hierarchy/hierarchy_results_n20_2_complexityclasses.csv,20.0,20,2
36,Raw,9,1.7171192838295777,0.0,lemon,complexity,20,/home1/amadapur/projects/eeg_trait_state_geometry/results/lemon/complexity/hierarchy/hierarchy_results_n20_2_complexityclasses.csv,20.0,20,2
37,Trait_LDA,9,1.8692916649114777,0.0,lemon,complexity,20,/home1/amadapur/projects/eeg_trait_state_geometry/results/lemon/complexity/hierarchy/hierarchy_results_n20_2_complexityclasses.csv,20.0,20,2
38,State_LDA,9,1.5842866306707069,0.0,lemon,complexity,20,/home1/amadapur/projects/eeg_trait_state_geometry/results/lemon/complexity/hierarchy/hierarchy_results_n20_2_complexityclasses.csv,20.0,20,2
39,Joint_LDA,9,1.813530460700918,0.0,lemon,complexity,20,/home1/amadapur/projects/eeg_trait_state_geometry/results/lemon/complexity/hierarchy/hierarchy_results_n20_2_complexityclasses.csv,20.0,20,2
0,Raw,0,1.281545093426344,0.0,lemon,complexity,10,/home1/amadapur/projects/eeg_trait_state_geometry/results/lemon/complexity/hierarchy/hierarchy_results_n10_2_complexityclasses.csv,10.0,10,2
1,Trait_LDA,0,1.6252977687587011,0.0,lemon,complexity,10,/home1/amadapur/projects/eeg_trait_state_geometry/results/lemon/complexity/hierarchy/hierarchy_results_n10_2_complexityclasses.csv,10.0,10,2
2,State_LDA,0,0.9716345206966116,0.0,lemon,complexity,10,/home1/amadapur/projects/eeg_trait_state_geometry/results/lemon/complexity/hierarchy/hierarchy_results_n10_2_complexityclasses.csv,10.0,10,2
3,Joint_LDA,0,1.4519323792370948,0.0,lemon,complexity,10,/home1/amadapur/projects/eeg_trait_state_geometry/results/lemon/complexity/hierarchy/hierarchy_results_n10_2_complexityclasses.csv,10.0,10,2
4,Raw,1,0.6533212432769782,0.0,lemon,complexity,10,/home1/amadapur/projects/eeg_trait_state_geometry/results/lemon/complexity/hierarchy/hierarchy_results_n10_2_complexityclasses.csv,10.0,10,2
5,Trait_LDA,1,0.8774067951666109,0.0,lemon,complexity,10,/home1/amadapur/projects/eeg_trait_state_geometry/results/lemon/complexity/hierarchy/hierarchy_results_n10_2_complexityclasses.csv,10.0,10,2
6,State_LDA,1,0.6161620964926109,0.0,lemon,complexity,10,/home1/amadapur/projects/eeg_trait_state_geometry/results/lemon/complexity/hierarchy/hierarchy_results_n10_2_complexityclasses.csv,10.0,10,2
7,Joint_LDA,1,0.9938007186538916,0.0,lemon,complexity,10,/home1/amadapur/projects/eeg_trait_state_geometry/results/lemon/complexity/hierarchy/hierarchy_results_n10_2_complexityclasses.csv,10.0,10,2
8,Raw,2,1.0912783433533495,0.0,lemon,complexity,10,/home1/amadapur/projects/eeg_trait_state_geometry/results/lemon/complexity/hierarchy/hierarchy_results_n10_2_complexityclasses.csv,10.0,10,2
